"StartDate","EndDate","Date","TaxonVersionKey","TaxonName","Projection","Precision","SiteName","Recorder","ZeroAbundance","UnderValidation","Sampling.method","County","Abundance_Simplified","Type","lon","lat"
2017-05-11,2017-05-11,2017-05-11,"NBNSYS0000005133","Lutra lutra","OSI",100,"pound bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.61469035699404,52.0181859575645
2015-06-21,2015-06-21,2015-06-21,"NBNSYS0000005133","Lutra lutra","OSI",100,"rathcormack bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.27997830387305,52.0679855224426
2016-06-17,2016-06-17,2016-06-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"reanasallagh cross","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.30973824683228,51.9429909391099
2017-04-09,2017-04-09,2017-04-09,"NBNSYS0000005133","Lutra lutra","OSI",100,"sullane bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.0754140007478,51.9142228919814
2013-09-02,2013-09-02,2013-09-02,"NBNSYS0000005133","Lutra lutra","OSI",100,"tar bridge near newcastle","Patrick Smiddy","False","False","Spraint collected","Tipperary","Unknown","Mammal",-7.83444015325275,52.2775924569505
2015-08-18,2015-08-18,2015-08-18,"NBNSYS0000005133","Lutra lutra","OSI",100,"tooreencahill near ballydesmond","Patrick Smiddy","False","False","Spraint collected","Kerry","Unknown","Mammal",-9.26807755877669,52.1495761441365
2017-01-02,2017-01-02,2017-01-02,"NHMSYS0020774297","Neovison vison","OSI",100,"tuough bridge near inishannon","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.70610122993441,51.8100663426804
2015-09-09,2015-09-09,2015-09-09,"NBNSYS0000005133","Lutra lutra","OSI",100,"altamira near liscarroll","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.78961366572282,52.2732743786245
2015-09-09,2015-09-09,2015-09-09,"NBNSYS0000005133","Lutra lutra","OSI",100,"annagh bridge near churchtown","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.73568257442175,52.2897987556607
2015-09-10,2015-09-10,2015-09-10,"NBNSYS0000005133","Lutra lutra","OSI",100,"ardskeagh bridge near ardpatrick","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.62204760389251,52.3380810538749
2015-05-27,2015-05-27,2015-05-27,"NHMSYS0020774297","Neovison vison","OSI",100,"aughnacurraveel","Patrick Smiddy","False","False","Scat collected","Waterford","Unknown","Mammal",-7.77140473556811,51.9997934082881
2018-05-12,2018-05-12,2018-05-12,"NBNSYS0000005133","Lutra lutra","OSI",100,"kilkenny canal walk","Patrick McQuinn","False","False","Sighting of live animal","Kilkenny","Low","Mammal",-7.24494623709309,52.6518284947437
2017-10-11,2017-10-11,2017-10-11,"NBNSYS0000005133","Lutra lutra","OSI",100,"kilkenny","Patrick McQuinn","False","False","Sighting of live animal","Kilkenny","Low","Mammal",-7.24937858097244,52.6518566672726
2017-06-25,2017-06-25,2017-06-25,"NHMSYS0000080172","Crocidura russula","OSI",100,"brownstown head","Paul M Walsh","False","False","Found dead (Not road kill)","Waterford","Low","Mammal",-7.09449536518511,52.1367330809666
2015-07-13,2015-07-13,2015-07-13,"NBNSYS0000005133","Lutra lutra","OSI",100,"ballyguyroe bridge near kildorrery","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.47445040886044,52.2551894304896
2015-08-17,2015-08-17,2015-08-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"ballyhest bridge near ballyclogh","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.81025991317022,52.20034065553
2018-01-14,2018-01-14,2018-01-14,"NBNSYS0000005133","Lutra lutra","OSI",100,"coolaclarig listowel","Paddy Halpin","False","False","Sighting of live animal","Kerry","Low","Mammal",-9.45018317639867,52.4925895141785
2017-12-12,2017-12-12,2017-12-12,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"clash south athea","Paddy Halpin","False","False","Sighting of live animal","Limerick","Low","Mammal",-9.20141380210251,52.4405567402445
2021-04-13,2021-04-13,2021-04-13,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"scartleigh listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.52059408213481,52.4422764098961
2023-04-06,2023-04-06,2023-04-06,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"tooreenagown brosna","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.34079940190444,52.2844806010037
2023-06-01,2023-06-01,2023-06-01,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"clounprohus listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.42201662914262,52.4866404278734
