RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Type of sighting	County	Vice-county	Habitat description	Abundance	Record comment	Life stage	Survey name
b5bb4cfc-b1e4-11e7-9629-00155d018200			01/10/2017	01/10/2017	D	01/10/2017	NBNSYS0000005078	Erinaceus europaeus		-9.1079048200	51.6044696500	WGS84	100		Rowry Valley	Calvin Jones		False	False		Road kill	Cork			1			
99928969553388053			21/04/2022	21/04/2022	D	21/04/2022	NBNSYS0000005108	Sciurus vulgaris		-8.2964782600	51.8727362400	WGS84	100		Cobh	Caoimhe Barry		False	False		Sighting of live animal	Cork			1			
98363975745409936			16/04/2018	16/04/2018	D	16/04/2018	NHMSYS0001699417	Mustela erminea subsp. hibernica		-6.5592032700	53.6689641400	WGS84	100		Crowenstown, Co. Westmeath	Cariosa Fagan		False	False		Sighting of live animal	Meath			1			
99679645628151091			19/06/2021	19/06/2021	D	19/06/2021	NHMSYS0000080190	Martes martes		-7.6282725300	53.6982490800	WGS84	100		N4	Catherine Fitzpatrick		False	False			Longford			1			
100481020138096056			08/03/2023	08/03/2023	D	08/03/2023	NHMSYS0000080191	Meles meles	O068776	306850	277650	OSI	100		Killineer	Brendan McSherry		False	False		Road Kill	Louth			1			
100588520250278161			16/04/2023	16/04/2023	D	16/04/2023	NHMSYS0000080190	Martes martes	J183129	318350	312950	OSI	100		Liberties of Carlingford	Brendan McSherry		False	False		Road Kill	Louth			1			
100708897597165754			07/03/2022	07/03/2022	D	07/03/2022	NBNSYS0000042516	Lepus timidus subsp. hibernicus	J201082	320150	308250	OSI	100		Monksland	Brendan McSherry		False	False			Louth			1			
100708897597166088			04/04/2023	04/04/2023	D	04/04/2023	NBNSYS0000042516	Lepus timidus subsp. hibernicus	J059093	305950	309350	OSI	100		Dowdallshill	Brendan McSherry		False	False			Louth			1			
100708897597164802			09/03/2020	09/03/2020	D	09/03/2020	NBNSYS0000042516	Lepus timidus subsp. hibernicus	O188552	318850	255250	OSI	100		Ballough, Near Lusk Services	Brendan McSherry		False	False			Dublin			1			
256ddfa9-7d18-11e7-a2af-00155d018200			05/08/2017	05/08/2017	D	05/08/2017	NBNSYS0000005108	Sciurus vulgaris	O141229	314150	222950	OSI	100		Tibradden	Daniel Conneff		False	False		Sighting of live animal	Dublin			1			
100588520250277959			28/04/2023	28/04/2023	D	28/04/2023	NHMSYS0000080188	Vulpes vulpes	N069420	206950	242050	OSI	100		Athlone	Dave McKay		False	False		Sighting of live animal	Westmeath			1			
100588520250278061			31/03/2023	31/03/2023	D	31/03/2023	NHMSYS0000080219	Oryctolagus cuniculus	N456527	245650	252750	OSI	100		Mullingar	David Reilly		False	False		Sighting of live animal	Westmeath			3			
99928969553388187			23/06/2022	23/06/2022	D	23/06/2022	NHMSYS0000332764	Sciurus carolinensis		-6.3822916300	53.3801769600	WGS84	100		Blanchardstown	Jennifer Atkinson		False	False		Sighting of live animal	Dublin			1			
99928969553388102			28/04/2022	28/04/2022	D	28/04/2022	NHMSYS0000332764	Sciurus carolinensis		-6.2602916000	53.3279906000	WGS84	100		Ranelagh	John Brophy		False	False		Sighting of live animal	Dublin		Linear woodland/scrub	1			
59eee783-3172-11e7-8717-00155d018201			26/04/2017	26/04/2017	D	26/04/2017	NHMSYS0000080212	Rattus norvegicus	T253726	325350	172650	OSI	100		Arklow	John Brophy		False	False		Sighting of live animal	Wicklow	Wicklow		1			
100481020138095958			06/03/2023	06/03/2023	D	06/03/2023	NHMSYS0000080190	Martes martes		-6.3913822200	53.2440196100	WGS84	100		Ballymorefinn	Donal Fallon		False	False		Sighting of live animal	Dublin						
26cf3eb9-36e6-11e7-9be5-00155d018200			12/05/2017	12/05/2017	D	12/05/2017	NBNSYS0000005108	Sciurus vulgaris	R037474	103750	147450	OSI	100		Cockhill, Tarbert	Donnacha Enright		False	False		Sighting of live animal	Kerry						
59c937d5-3172-11e7-8717-00155d018201			19/04/2017	19/04/2017	D	19/04/2017	NBNSYS0000005133	Lutra lutra	S378220	237850	122050	OSI	100		Carrick-on-Suir	Éamonn Mac Lochlainn		False	False		Sighting of live animal	Waterford	Waterford		1			
24870567161107651			01/06/2016	01/06/2016	D	01/06/2016	NHMSYS0000080191	Meles meles	S309086	230950	108650	OSI	100		Mahon Falls	Éamonn Mac Lochlainn		False	False		Sighting of live animal	Waterford	Waterford		1			
6f65ec37-3ee8-11e7-857a-00155d018200			21/05/2017	21/05/2017	D	21/05/2017	NBNSYS0000005108	Sciurus vulgaris	O123236	312350	223650	OSI	100		Kilakee	Feargal Geoghegan		False	False		Sighting of live animal	Dublin						
98363975745410272			02/07/2018	02/07/2018	D	02/07/2018	NHMSYS0000080188	Vulpes vulpes		-9.4665449100	51.5315733600	WGS84	100		Rosbrin Cove	Ferdia Marnell		False	False		Sighting of live animal	Cork			1			
98363975745410939			23/11/2018	23/11/2018	D	23/11/2018	NBNSYS0000005133	Lutra lutra		-7.9508829100	53.2221339600	WGS84	100		Shannon Harbour bridge	Ferdia Marnell		False	False		Tracks or signs	Offaly						
